session_code_n,id_in_group,round_number,color_n,score,actionType_n,new_color_n,delete_player_n,add_player_n,linked_neighbors,graph_size,hist_color,hist_neighbor,hist_skip,num_of_neighbor
1,10,2,0,33,0,2,996,996,"7,8,9,11,12,13",15,1.0,0.0,0.0,6
1,11,2,0,50,0,3,996,996,"8,9,10,12,13,14",15,1.0,0.0,0.0,6
1,12,2,0,67,1,996,996,996,"9,10,11,13,14,15",15,1.0,0.0,0.0,6
1,13,2,1,67,2,996,14,6,"1,10,11,12,14,15",15,1.0,0.0,0.0,6
1,14,2,1,50,0,2,996,996,"1,2,11,12,13,15",15,1.0,0.0,0.0,6
1,15,2,1,50,2,996,13,6,"1,2,3,12,13,14",15,1.0,0.0,0.0,6
1,1,3,0,100,1,996,996,996,"2,4,13,14,15,6",15,0.5,0.5,0.0,6
1,2,3,2,57,1,996,996,996,"1,8,3,4,5,14,15",15,1.0,0.0,0.0,7
1,3,3,0,100,2,996,4,9,"2,4,5,6,15",15,0.5,0.0,0.5,5
1,4,3,2,67,0,1,996,996,"1,2,3,5,6,7",15,1.0,0.0,0.0,6
1,5,3,2,60,0,1,996,996,"2,3,4,6,7",15,1.0,0.0,0.0,5
1,6,3,3,100,1,996,996,996,"3,4,5,1,13,15,7,8,9",15,0.0,0.0,1.0,9
1,7,3,0,83,0,2,996,996,"4,5,6,8,9,10",15,0.5,0.0,0.5,6
1,8,3,0,83,2,996,7,4,"6,7,9,10,11,2",15,0.5,0.5,0.0,6
1,9,3,1,100,1,996,996,996,"6,7,8,10,11,12",15,0.5,0.0,0.5,6
1,10,3,2,100,1,996,996,996,"7,8,9,11,12,13",15,1.0,0.0,0.0,6
1,11,3,3,100,1,996,996,996,"8,9,10,12,13,14",15,1.0,0.0,0.0,6
1,12,3,0,100,2,996,9,6,"9,10,11,13,14,15",15,0.5,0.0,0.5,6
1,13,3,1,100,1,996,996,996,"1,10,11,12,6",15,0.5,0.5,0.0,5
1,14,3,2,80,2,996,2,6,"1,2,11,12,15",15,1.0,0.0,0.0,5
1,15,3,1,100,2,996,3,11,"1,2,3,12,14,6",15,0.5,0.5,0.0,6
1,1,4,0,100,1,996,996,996,"2,4,13,14,15,6",15,0.33,0.33,0.33,6
1,2,4,2,100,1,996,996,996,"1,8,3,4,5,15",15,0.67,0.0,0.33,6
1,3,4,0,100,1,996,996,996,"2,4,5,6",15,0.33,0.33,0.33,4
1,4,4,1,86,2,996,5,11,"1,2,3,8,5,6,7",15,1.0,0.0,0.0,7
1,5,4,1,80,1,996,996,996,"2,3,4,6,7",15,1.0,0.0,0.0,5
1,6,4,3,100,1,996,996,996,"3,4,5,1,13,15,12,14,7,8,9",15,0.0,0.0,1.0,11
1,7,4,2,80,1,996,996,996,"4,5,6,9,10",15,0.67,0.0,0.33,5
1,8,4,0,100,1,996,996,996,"6,9,10,11,2,4",15,0.33,0.67,0.0,6
1,9,4,1,100,1,996,996,996,"6,7,8,10,11",15,0.33,0.0,0.67,5
1,10,4,2,83,1,996,996,996,"7,8,9,11,12,13",15,0.67,0.0,0.33,6
1,11,4,3,100,1,996,996,996,"8,9,10,15,12,13,14",15,0.67,0.0,0.33,7
1,12,4,0,100,1,996,996,996,"10,11,13,14,15,6",15,0.33,0.33,0.33,6
1,13,4,1,100,1,996,996,996,"1,10,11,12,6",15,0.33,0.33,0.33,5
1,14,4,2,100,1,996,996,996,"1,11,12,15,6",15,0.67,0.33,0.0,5
1,15,4,1,100,2,996,6,7,"1,2,12,14,6,11",15,0.33,0.67,0.0,6
1,1,5,0,100,1,996,996,996,"2,4,13,14,15,6",15,0.25,0.25,0.5,6
1,2,5,2,100,1,996,996,996,"1,8,3,4,5,15",15,0.5,0.0,0.5,6
1,3,5,0,100,1,996,996,996,"2,4,5,6",15,0.25,0.25,0.5,4
1,4,5,1,100,1,996,996,996,"1,2,3,8,6,7,11",15,0.75,0.25,0.0,7
1,5,5,1,100,1,996,996,996,"2,3,6,7",15,0.75,0.0,0.25,4
1,6,5,3,100,1,996,996,996,"3,4,5,1,13,12,14,7,8,9",15,0.0,0.0,1.0,10
1,7,5,2,83,0,0,996,996,"4,5,6,15,9,10",15,0.5,0.0,0.5,6
1,8,5,0,100,1,996,996,996,"6,9,10,11,2,4",15,0.25,0.5,0.25,6
1,9,5,1,100,1,996,996,996,"6,7,8,10,11",15,0.25,0.0,0.75,5
1,10,5,2,83,1,996,996,996,"7,8,9,11,12,13",15,0.5,0.0,0.5,6
1,11,5,3,100,1,996,996,996,"8,9,10,15,4,12,13,14",15,0.5,0.0,0.5,8
1,12,5,0,100,1,996,996,996,"10,11,13,14,15,6",15,0.25,0.25,0.5,6
1,13,5,1,100,1,996,996,996,"1,10,11,12,6",15,0.25,0.25,0.5,5
1,14,5,2,100,2,996,11,4,"1,11,12,15,6",15,0.5,0.25,0.25,5
1,15,5,1,100,2,996,7,10,"1,2,12,14,11,7",15,0.25,0.75,0.0,6
2,1,1,3,0,1,996,996,996,"2,3,4,19,20,21",21,0.0,0.0,0.0,6
2,2,1,3,0,0,2,996,996,"1,3,4,5,20,21",21,0.0,0.0,0.0,6
2,3,1,3,0,1,996,996,996,"1,2,4,5,6,21",21,0.0,0.0,0.0,6
2,4,1,3,0,0,0,996,996,"1,2,3,5,6,7",21,0.0,0.0,0.0,6
2,5,1,3,0,0,2,996,996,"2,3,4,6,7,8",21,0.0,0.0,0.0,6
2,6,1,3,0,1,996,996,996,"3,4,5,7,8,9",21,0.0,0.0,0.0,6
2,7,1,3,0,0,0,996,996,"4,5,6,8,9,10",21,0.0,0.0,0.0,6
2,8,1,3,0,1,996,996,996,"5,6,7,9,10,11",21,0.0,0.0,0.0,6
2,9,1,3,0,1,996,996,996,"6,7,8,10,11,12",21,0.0,0.0,0.0,6
2,10,1,3,0,0,0,996,996,"7,8,9,11,12,13",21,0.0,0.0,0.0,6
2,11,1,3,0,0,0,996,996,"8,9,10,12,13,14",21,0.0,0.0,0.0,6
2,12,1,3,0,0,1,996,996,"9,10,11,13,14,15",21,0.0,0.0,0.0,6
2,13,1,3,0,0,1,996,996,"10,11,12,14,15,16",21,0.0,0.0,0.0,6
2,14,1,3,0,1,996,996,996,"11,12,13,15,16,17",21,0.0,0.0,0.0,6
2,15,1,3,0,0,2,996,996,"12,13,14,16,17,18",21,0.0,0.0,0.0,6
2,16,1,3,0,0,2,996,996,"13,14,15,17,18,19",21,0.0,0.0,0.0,6
2,17,1,3,0,1,996,996,996,"14,15,16,18,19,20",21,0.0,0.0,0.0,6
2,18,1,3,0,1,996,996,996,"15,16,17,19,20,21",21,0.0,0.0,0.0,6
2,19,1,3,0,0,0,996,996,"1,16,17,18,20,21",21,0.0,0.0,0.0,6
2,20,1,3,0,2,996,18,4,"1,2,17,18,19,21",21,0.0,0.0,0.0,6
2,21,1,3,0,0,1,996,996,"1,2,3,18,19,20",21,0.0,0.0,0.0,6
2,1,2,3,67,1,996,996,996,"2,3,4,19,20,21",21,0.0,0.0,1.0,6
2,2,2,2,83,2,996,5,19,"1,3,4,5,20,21",21,1.0,0.0,0.0,6
2,3,2,3,67,2,996,6,11,"1,2,4,5,6,21",21,0.0,0.0,1.0,6
2,4,2,0,86,1,996,996,996,"1,2,3,20,5,6,7",21,1.0,0.0,0.0,7
2,5,2,2,83,1,996,996,996,"2,3,4,6,7,8",21,1.0,0.0,0.0,6
2,6,2,3,50,1,996,996,996,"3,4,5,7,8,9",21,0.0,0.0,1.0,6
2,7,2,0,67,2,996,6,12,"4,5,6,8,9,10",21,1.0,0.0,0.0,6
2,8,2,3,67,1,996,996,996,"5,6,7,9,10,11",21,0.0,0.0,1.0,6
2,9,2,3,67,1,996,996,996,"6,7,8,10,11,12",21,0.0,0.0,1.0,6
2,10,2,0,67,0,2,996,996,"7,8,9,11,12,13",21,1.0,0.0,0.0,6
2,11,2,0,83,0,2,996,996,"8,9,10,12,13,14",21,1.0,0.0,0.0,6
2,12,2,1,83,2,996,13,5,"9,10,11,13,14,15",21,1.0,0.0,0.0,6
2,13,2,1,83,1,996,996,996,"10,11,12,14,15,16",21,1.0,0.0,0.0,6
2,14,2,3,83,1,996,996,996,"11,12,13,15,16,17",21,0.0,0.0,1.0,6
2,15,2,2,83,2,996,18,19,"12,13,14,16,17,18",21,1.0,0.0,0.0,6
2,16,2,2,83,2,996,15,12,"13,14,15,17,18,19",21,1.0,0.0,0.0,6
2,17,2,3,50,0,0,996,996,"14,15,16,18,19,20",21,0.0,0.0,1.0,6
2,18,2,3,80,1,996,996,996,"15,16,17,19,21",21,0.0,0.0,1.0,5
2,19,2,0,100,1,996,996,996,"1,16,17,18,20,21",21,1.0,0.0,0.0,6
2,20,2,3,67,2,996,2,12,"1,2,17,19,21,4",21,0.0,1.0,0.0,6
2,21,2,1,100,1,996,996,996,"1,2,3,18,19,20",21,1.0,0.0,0.0,6
2,1,3,3,67,2,996,3,17,"2,3,4,19,20,21",21,0.0,0.0,1.0,6
2,2,3,2,100,1,996,996,996,"1,3,4,21,19",21,0.5,0.5,0.0,5
2,3,3,3,83,2,996,1,12,"1,2,4,5,21,11",21,0.0,0.5,0.5,6
2,4,3,0,86,2,996,3,12,"1,2,3,20,5,6,7",21,0.5,0.0,0.5,7
2,5,3,2,100,1,996,996,996,"3,4,12,6,7,8",21,0.5,0.0,0.5,6
2,6,3,3,60,1,996,996,996,"4,5,7,8,9",21,0.0,0.0,1.0,5
2,7,3,0,83,0,1,996,996,"4,5,6,8,9,10",21,0.5,0.5,0.0,6
2,8,3,3,67,1,996,996,996,"5,6,7,9,10,11",21,0.0,0.0,1.0,6
2,9,3,3,67,0,0,996,996,"6,7,8,10,11,12",21,0.0,0.0,1.0,6
2,10,3,2,83,2,996,11,4,"7,8,9,11,12,13",21,1.0,0.0,0.0,6
2,11,3,2,86,0,0,996,996,"8,9,10,3,12,13,14",21,1.0,0.0,0.0,7
2,12,3,1,100,1,996,996,996,"9,10,11,16,20,14,15,5",21,0.5,0.5,0.0,8
2,13,3,1,100,1,996,996,996,"10,11,14,15,16",21,0.5,0.0,0.5,5
2,14,3,3,100,0,0,996,996,"11,12,13,15,16,17",21,0.0,0.0,1.0,6
2,15,3,2,100,1,996,996,996,"12,13,14,17,19",21,0.5,0.5,0.0,5
2,16,3,2,100,1,996,996,996,"13,14,17,18,19,12",21,0.5,0.5,0.0,6
2,17,3,0,83,0,3,996,996,"14,15,16,18,19,20",21,0.5,0.0,0.5,6
2,18,3,3,100,1,996,996,996,"16,17,19,21",21,0.0,0.0,1.0,4
2,19,3,0,88,2,996,17,8,"1,16,17,18,2,15,20,21",21,0.5,0.0,0.5,8
2,20,3,3,83,2,996,17,16,"1,17,19,21,4,12",21,0.0,1.0,0.0,6
2,21,3,1,100,2,996,3,7,"1,2,3,18,19,20",21,0.5,0.0,0.5,6
2,1,4,3,67,2,996,17,7,"2,4,19,20,21,17",21,0.0,0.33,0.67,6
2,2,4,2,100,1,996,996,996,"1,3,4,21,19",21,0.33,0.33,0.33,5
2,3,4,3,100,1,996,996,996,"2,5,11,12",21,0.0,0.67,0.33,4
2,4,4,0,100,1,996,996,996,"1,2,20,10,5,6,7,12",21,0.33,0.33,0.33,8
2,5,4,2,100,1,996,996,996,"3,4,12,6,7,8",21,0.33,0.0,0.67,6
2,6,4,3,80,1,996,996,996,"4,5,7,8,9",21,0.0,0.0,1.0,5
2,7,4,1,86,1,996,996,996,"4,5,6,21,8,9,10",21,0.67,0.33,0.0,7
2,8,4,3,86,2,996,10,4,"5,6,7,19,9,10,11",21,0.0,0.0,1.0,7
2,9,4,0,83,2,996,11,13,"6,7,8,10,11,12",21,0.33,0.0,0.67,6
2,10,4,2,100,1,996,996,996,"7,8,9,12,13,4",21,0.67,0.33,0.0,6
2,11,4,0,67,0,2,996,996,"8,9,3,12,13,14",21,1.0,0.0,0.0,6
2,12,4,1,100,1,996,996,996,"9,10,11,16,20,3,4,14,15,5",21,0.33,0.33,0.33,10
2,13,4,1,100,1,996,996,996,"10,11,14,15,16",21,0.33,0.0,0.67,5
2,14,4,0,83,1,996,996,996,"11,12,13,15,16,17",21,0.33,0.0,0.67,6
2,15,4,2,100,1,996,996,996,"12,13,14,17,19",21,0.33,0.33,0.33,5
2,16,4,2,100,1,996,996,996,"13,14,20,17,18,19,12",21,0.33,0.33,0.33,7
2,17,4,3,60,0,0,996,996,"14,15,16,1,18",21,0.67,0.0,0.33,5
2,18,4,3,75,1,996,996,996,"16,17,19,21",21,0.0,0.0,1.0,4
2,19,4,0,100,1,996,996,996,"1,16,18,2,15,20,21,8",21,0.33,0.33,0.33,8
2,20,4,3,83,2,996,1,11,"1,19,21,4,12,16",21,0.0,1.0,0.0,6
2,21,4,1,83,2,996,7,3,"1,2,18,19,20,7",21,0.33,0.33,0.33,6
2,1,5,3,100,2,996,21,20,"2,4,19,21,7",21,0.0,0.5,0.5,5
2,2,5,2,100,1,996,996,996,"1,3,4,21,19",21,0.25,0.25,0.5,5
2,3,5,3,100,1,996,996,996,"2,21,5,11,12",21,0.0,0.5,0.5,5
2,4,5,0,100,2,996,6,3,"1,2,20,10,8,5,6,7,12",21,0.25,0.25,0.5,9
2,5,5,2,100,1,996,996,996,"3,4,12,6,7,8",21,0.25,0.0,0.75,6
2,6,5,3,80,1,996,996,996,"4,5,7,8,9",21,0.0,0.0,1.0,5
2,7,5,1,100,1,996,996,996,"4,5,6,1,8,9,10",21,0.5,0.25,0.25,7
2,8,5,3,86,1,996,996,996,"5,6,7,19,9,11,4",21,0.0,0.25,0.75,7
2,9,5,0,100,1,996,996,996,"6,7,8,10,12,13",21,0.25,0.25,0.5,6
2,10,5,2,100,1,996,996,996,"7,9,12,13,4",21,0.5,0.25,0.25,5
2,11,5,2,100,1,996,996,996,"8,3,20,12,13,14",21,1.0,0.0,0.0,6
2,12,5,1,100,1,996,996,996,"9,10,11,16,20,3,4,14,15,5",21,0.25,0.25,0.5,10
2,13,5,1,100,1,996,996,996,"10,11,9,14,15,16",21,0.25,0.0,0.75,6
2,14,5,0,83,0,3,996,996,"11,12,13,15,16,17",21,0.25,0.0,0.75,6
2,15,5,2,100,1,996,996,996,"12,13,14,17,19",21,0.25,0.25,0.5,5
2,16,5,2,100,1,996,996,996,"13,14,20,17,18,19,12",21,0.25,0.25,0.5,7
2,17,5,0,75,0,1,996,996,"14,15,16,18",21,0.75,0.0,0.25,4
2,18,5,3,100,1,996,996,996,"16,17,19,21",21,0.0,0.0,1.0,4
2,19,5,0,100,1,996,996,996,"1,16,18,2,15,20,21,8",21,0.25,0.25,0.5,8
2,20,5,3,100,1,996,996,996,"19,21,4,12,16,11",21,0.0,1.0,0.0,6
2,21,5,1,100,2,996,2,8,"1,2,18,19,20,3",21,0.25,0.5,0.25,6
2,1,6,3,80,2,996,20,11,"2,4,19,7,20",21,0.0,0.6,0.4,5
2,2,6,2,100,1,996,996,996,"1,3,4,19",21,0.2,0.2,0.6,4
2,3,6,3,100,1,996,996,996,"2,21,4,5,11,12",21,0.0,0.4,0.6,6
2,4,6,0,100,2,996,1,18,"1,2,20,10,8,5,7,12,3",21,0.2,0.4,0.4,9
2,5,6,2,100,1,996,996,996,"3,4,12,6,7,8",21,0.2,0.0,0.8,6
2,6,6,3,75,1,996,996,996,"5,7,8,9",21,0.0,0.0,1.0,4
2,7,6,1,100,1,996,996,996,"4,5,6,1,8,9,10",21,0.4,0.2,0.4,7
2,8,6,3,88,0,2,996,996,"5,6,7,19,21,9,11,4",21,0.0,0.2,0.8,8
2,9,6,0,100,1,996,996,996,"6,7,8,10,12,13",21,0.2,0.2,0.6,6
2,10,6,2,100,1,996,996,996,"7,9,12,13,4",21,0.4,0.2,0.4,5
2,11,6,2,100,0,0,996,996,"8,3,20,12,13,14",21,0.8,0.0,0.2,6
2,12,6,1,100,1,996,996,996,"9,10,11,16,20,3,4,14,15,5",21,0.2,0.2,0.6,10
2,13,6,1,100,1,996,996,996,"10,11,9,14,15,16",21,0.2,0.0,0.8,6
2,14,6,3,100,0,0,996,996,"11,12,13,15,16,17",21,0.4,0.0,0.6,6
2,15,6,2,100,1,996,996,996,"12,13,14,17,19",21,0.2,0.2,0.6,5
2,16,6,2,100,1,996,996,996,"13,14,20,17,18,19,12",21,0.2,0.2,0.6,7
2,17,6,1,100,1,996,996,996,"14,15,16,18",21,0.8,0.0,0.2,4
2,18,6,3,100,1,996,996,996,"16,17,19,21",21,0.0,0.0,1.0,4
2,19,6,0,100,1,996,996,996,"1,16,18,2,15,20,21,8",21,0.2,0.2,0.6,8
2,20,6,3,86,2,996,1,17,"19,1,21,4,12,16,11",21,0.0,0.8,0.2,7
2,21,6,1,100,2,996,19,6,"18,19,20,3,8",21,0.2,0.6,0.2,5
2,1,7,3,100,2,996,19,21,"2,19,7,11",21,0.0,0.67,0.33,4
2,2,7,2,100,1,996,996,996,"1,3,4,19",21,0.17,0.17,0.67,4
2,3,7,3,100,1,996,996,996,"2,21,4,5,11,12",21,0.0,0.33,0.67,6
2,4,7,0,100,2,996,5,21,"2,20,10,8,5,7,12,3,18",21,0.17,0.5,0.33,9
2,5,7,2,83,2,996,8,1,"3,4,12,6,7,8",21,0.17,0.0,0.83,6
2,6,7,3,100,1,996,996,996,"5,21,7,8,9",21,0.0,0.0,1.0,5
2,7,7,1,100,1,996,996,996,"4,5,6,1,8,9,10",21,0.33,0.17,0.5,7
2,8,7,2,88,2,996,21,14,"5,6,7,19,21,9,11,4",21,0.17,0.17,0.67,8
2,9,7,0,100,1,996,996,996,"6,7,8,10,12,13",21,0.17,0.17,0.67,6
2,10,7,2,100,1,996,996,996,"7,9,12,13,4",21,0.33,0.17,0.5,5
2,11,7,0,86,1,996,996,996,"8,3,20,1,12,13,14",21,0.83,0.0,0.17,7
2,12,7,1,100,1,996,996,996,"9,10,11,16,20,3,4,14,15,5",21,0.17,0.17,0.67,10
2,13,7,1,100,1,996,996,996,"10,11,9,14,15,16",21,0.17,0.0,0.83,6
2,14,7,0,83,1,996,996,996,"11,12,13,15,16,17",21,0.5,0.0,0.5,6
2,15,7,2,100,1,996,996,996,"12,13,14,17,19",21,0.17,0.17,0.67,5
2,16,7,2,100,1,996,996,996,"13,14,20,17,18,19,12",21,0.17,0.17,0.67,7
2,17,7,1,100,1,996,996,996,"14,15,16,20,18",21,0.67,0.0,0.33,5
2,18,7,3,100,1,996,996,996,"16,17,4,19,21",21,0.0,0.0,1.0,5
2,19,7,0,100,1,996,996,996,"1,16,18,2,15,20,8",21,0.17,0.17,0.67,7
2,20,7,3,100,1,996,996,996,"19,21,4,12,16,11,17",21,0.0,0.83,0.17,7
2,21,7,1,100,2,996,8,1,"18,20,3,8,6",21,0.17,0.67,0.17,5
2,1,8,3,100,2,996,2,14,"5,2,7,11,21",21,0.0,0.71,0.29,5
2,2,8,2,100,1,996,996,996,"1,3,4,19",21,0.14,0.14,0.71,4
2,3,8,3,100,1,996,996,996,"2,21,4,5,11,12",21,0.0,0.29,0.71,6
2,4,8,0,100,1,996,996,996,"2,20,10,8,7,12,3,18,21",21,0.14,0.57,0.29,9
2,5,8,2,100,1,996,996,996,"3,12,6,7,1",21,0.14,0.14,0.71,5
2,6,8,3,100,1,996,996,996,"5,21,7,8,9",21,0.0,0.0,1.0,5
2,7,8,1,100,1,996,996,996,"4,5,6,1,8,9,10",21,0.29,0.14,0.57,7
2,8,8,2,100,0,0,996,996,"6,7,19,9,11,4,14",21,0.14,0.29,0.57,7
2,9,8,0,100,1,996,996,996,"6,7,8,10,12,13",21,0.14,0.14,0.71,6
2,10,8,2,100,1,996,996,996,"7,9,12,13,4",21,0.29,0.14,0.57,5
2,11,8,0,86,2,996,14,7,"8,3,20,1,12,13,14",21,0.71,0.0,0.29,7
2,12,8,1,100,1,996,996,996,"9,10,11,16,20,3,4,14,15,5",21,0.14,0.14,0.71,10
2,13,8,1,100,1,996,996,996,"10,11,9,14,15,16",21,0.14,0.0,0.86,6
2,14,8,0,86,2,996,11,20,"11,12,13,8,15,16,17",21,0.43,0.0,0.57,7
2,15,8,2,100,1,996,996,996,"12,13,14,17,19",21,0.14,0.14,0.71,5
2,16,8,2,100,1,996,996,996,"13,14,20,17,18,19,12",21,0.14,0.14,0.71,7
2,17,8,1,100,1,996,996,996,"14,15,16,20,18",21,0.57,0.0,0.43,5
2,18,8,3,100,1,996,996,996,"16,17,4,19,21",21,0.0,0.0,1.0,5
2,19,8,0,100,1,996,996,996,"16,18,2,15,20,8",21,0.14,0.14,0.71,6
2,20,8,3,100,1,996,996,996,"19,21,4,12,16,11,17",21,0.0,0.71,0.29,7
2,21,8,1,100,2,996,4,11,"18,20,1,4,3,6",21,0.14,0.71,0.14,6
2,1,9,3,100,1,996,996,996,"5,7,11,21,14",21,0.0,0.75,0.25,5
2,2,9,2,100,1,996,996,996,"3,4,19",21,0.12,0.12,0.75,3
2,3,9,3,100,2,996,21,13,"2,21,4,5,11,12",21,0.0,0.25,0.75,6
2,4,9,0,88,2,996,8,15,"2,20,10,8,7,12,3,18",21,0.12,0.5,0.38,8
2,5,9,2,100,1,996,996,996,"3,12,6,7,1",21,0.12,0.12,0.75,5
2,6,9,3,100,1,996,996,996,"5,21,7,8,9",21,0.0,0.0,1.0,5
2,7,9,1,100,1,996,996,996,"4,5,6,1,11,8,9,10",21,0.25,0.12,0.62,8
2,8,9,0,29,1,996,996,996,"6,7,19,9,11,4,14",21,0.25,0.25,0.5,7
2,9,9,0,83,2,996,8,18,"6,7,8,10,12,13",21,0.12,0.12,0.75,6
2,10,9,2,100,1,996,996,996,"7,9,12,13,4",21,0.25,0.12,0.62,5
2,11,9,0,88,0,2,996,996,"8,3,20,1,21,12,13,7",21,0.62,0.12,0.25,8
2,12,9,1,100,1,996,996,996,"9,10,11,16,20,3,4,14,15,5",21,0.12,0.12,0.75,10
2,13,9,1,100,1,996,996,996,"10,11,9,14,15,16",21,0.12,0.0,0.88,6
2,14,9,0,88,1,996,996,996,"12,13,8,1,15,16,17,20",21,0.38,0.12,0.5,8
2,15,9,2,100,1,996,996,996,"12,13,14,17,19",21,0.12,0.12,0.75,5
2,16,9,2,100,1,996,996,996,"13,14,20,17,18,19,12",21,0.12,0.12,0.75,7
2,17,9,1,100,1,996,996,996,"14,15,16,20,18",21,0.5,0.0,0.5,5
2,18,9,3,100,1,996,996,996,"16,17,4,19,21",21,0.0,0.0,1.0,5
2,19,9,0,83,1,996,996,996,"16,18,2,15,20,8",21,0.12,0.12,0.75,6
2,20,9,3,100,1,996,996,996,"19,14,21,4,12,16,11,17",21,0.0,0.62,0.38,8
2,21,9,1,100,2,996,11,10,"18,20,1,3,6,11",21,0.12,0.75,0.12,6
2,1,10,3,100,1,996,996,996,"5,7,11,21,14",21,0.0,0.67,0.33,5
2,2,10,2,100,1,996,996,996,"3,4,19",21,0.11,0.11,0.78,3
2,3,10,3,100,2,996,11,15,"2,4,5,11,12,13",21,0.0,0.33,0.67,6
2,4,10,0,100,1,996,996,996,"2,20,10,7,12,3,18,15",21,0.11,0.56,0.33,8
2,5,10,2,100,1,996,996,996,"3,12,6,7,1",21,0.11,0.11,0.78,5
2,6,10,3,100,1,996,996,996,"5,21,7,8,9",21,0.0,0.0,1.0,5
2,7,10,1,100,1,996,996,996,"4,5,6,1,11,8,9,10",21,0.22,0.11,0.67,8
2,8,10,0,60,2,996,7,3,"6,7,19,11,14",21,0.22,0.22,0.56,5
2,9,10,0,100,1,996,996,996,"6,7,10,12,13,18",21,0.11,0.22,0.67,6
2,10,10,2,100,1,996,996,996,"7,9,21,12,13,4",21,0.22,0.11,0.67,6
2,11,10,2,100,1,996,996,996,"8,3,20,1,12,13,7",21,0.67,0.11,0.22,7
2,12,10,1,100,1,996,996,996,"9,10,11,16,20,3,4,14,15,5",21,0.11,0.11,0.78,10
2,13,10,1,100,1,996,996,996,"10,11,9,3,14,15,16",21,0.11,0.0,0.89,7
2,14,10,0,88,0,3,996,996,"12,13,8,1,15,16,17,20",21,0.33,0.11,0.56,8
2,15,10,2,100,1,996,996,996,"12,13,14,4,17,19",21,0.11,0.11,0.78,6
2,16,10,2,100,1,996,996,996,"13,14,20,17,18,19,12",21,0.11,0.11,0.78,7
2,17,10,1,100,1,996,996,996,"14,15,16,20,18",21,0.44,0.0,0.56,5
2,18,10,3,100,1,996,996,996,"16,17,4,9,19,21",21,0.0,0.0,1.0,6
2,19,10,0,83,0,1,996,996,"16,18,2,15,20,8",21,0.11,0.11,0.78,6
2,20,10,3,100,1,996,996,996,"19,14,21,4,12,16,11,17",21,0.0,0.56,0.44,8
2,21,10,1,100,2,996,10,3,"18,20,1,6,10",21,0.11,0.78,0.11,5
2,1,11,3,80,1,996,996,996,"5,7,11,21,14",21,0.0,0.6,0.4,5
2,2,11,2,100,1,996,996,996,"3,4,19",21,0.1,0.1,0.8,3
2,3,11,3,100,1,996,996,996,"2,4,8,21,5,12,13,15",21,0.0,0.4,0.6,8
2,4,11,0,100,1,996,996,996,"2,20,10,7,12,3,18,15",21,0.1,0.5,0.4,8
2,5,11,2,100,0,0,996,996,"3,12,6,7,1",21,0.1,0.1,0.8,5
2,6,11,3,100,1,996,996,996,"5,21,7,8,9",21,0.0,0.0,1.0,5
2,7,11,1,100,1,996,996,996,"4,5,6,1,11,9,10",21,0.2,0.1,0.7,7
2,8,11,0,100,1,996,996,996,"6,19,11,14,3",21,0.2,0.3,0.5,5
